variant,effect,sweep_variable,sweep_value,trial_count,sample_count,new_error_rate_mean,new_error_rate_p05,new_error_rate_p50,new_error_rate_p95,recovery_rate_mean,recovery_rate_p05,recovery_rate_p50,recovery_rate_p95,net_top1_drop_mean,prediction_change_rate_mean,seeds,metric_definition,claim_boundary
MobileViT-XS,wdm_adjacent_crosstalk,crosstalk_alpha,0.0,1,1024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20260706,percentage of all labelled samples that are clean-correct and perturbed-wrong; recovery and net-drop columns retained,Imagenette-160 subset paired diagnostic; not full ImageNet or measured-device robustness
MobileViT-XS,wdm_adjacent_crosstalk,crosstalk_alpha,0.01,1,1024,0.0977,0.0977,0.0977,0.0977,0.0977,0.0977,0.0977,0.0977,0.0000,0.2930,20260706,percentage of all labelled samples that are clean-correct and perturbed-wrong; recovery and net-drop columns retained,Imagenette-160 subset paired diagnostic; not full ImageNet or measured-device robustness
MobileViT-XS,wdm_adjacent_crosstalk,crosstalk_alpha,0.03,1,1024,0.2930,0.2930,0.2930,0.2930,0.4883,0.4883,0.4883,0.4883,-0.1953,1.1719,20260706,percentage of all labelled samples that are clean-correct and perturbed-wrong; recovery and net-drop columns retained,Imagenette-160 subset paired diagnostic; not full ImageNet or measured-device robustness
MobileViT-XS,wdm_adjacent_crosstalk,crosstalk_alpha,0.05,1,1024,0.5859,0.5859,0.5859,0.5859,0.6836,0.6836,0.6836,0.6836,-0.0977,2.3438,20260706,percentage of all labelled samples that are clean-correct and perturbed-wrong; recovery and net-drop columns retained,Imagenette-160 subset paired diagnostic; not full ImageNet or measured-device robustness
MobileViT-XXS,gaussian_pd_tia_noise,noise_lsb,0.0,5,1024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"20260706,20260707,20260708,20260709,20260710",percentage of all labelled samples that are clean-correct and perturbed-wrong; recovery and net-drop columns retained,Imagenette-160 subset paired diagnostic; not full ImageNet or measured-device robustness
MobileViT-XXS,gaussian_pd_tia_noise,noise_lsb,0.25,5,1024,0.0586,0.0000,0.0977,0.0977,0.2539,0.0195,0.1953,0.5469,-0.1953,0.3320,"20260706,20260707,20260708,20260709,20260710",percentage of all labelled samples that are clean-correct and perturbed-wrong; recovery and net-drop columns retained,Imagenette-160 subset paired diagnostic; not full ImageNet or measured-device robustness
MobileViT-XXS,gaussian_pd_tia_noise,noise_lsb,0.5,5,1024,0.1562,0.0195,0.1953,0.2734,0.4102,0.2148,0.3906,0.5859,-0.2539,0.7227,"20260706,20260707,20260708,20260709,20260710",percentage of all labelled samples that are clean-correct and perturbed-wrong; recovery and net-drop columns retained,Imagenette-160 subset paired diagnostic; not full ImageNet or measured-device robustness
MobileViT-XXS,gaussian_pd_tia_noise,noise_lsb,1.0,5,1024,0.3320,0.1953,0.3906,0.4687,0.6055,0.3906,0.4883,0.8789,-0.2734,1.6016,"20260706,20260707,20260708,20260709,20260710",percentage of all labelled samples that are clean-correct and perturbed-wrong; recovery and net-drop columns retained,Imagenette-160 subset paired diagnostic; not full ImageNet or measured-device robustness
MobileViT-XXS,mrr_variation,sigma_percent,0.0,5,1024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"20260706,20260707,20260708,20260709,20260710",percentage of all labelled samples that are clean-correct and perturbed-wrong; recovery and net-drop columns retained,Imagenette-160 subset paired diagnostic; not full ImageNet or measured-device robustness
MobileViT-XXS,mrr_variation,sigma_percent,1.0,5,1024,0.5078,0.2344,0.5859,0.6836,0.7227,0.3516,0.7812,0.9766,-0.2148,2.1484,"20260706,20260707,20260708,20260709,20260710",percentage of all labelled samples that are clean-correct and perturbed-wrong; recovery and net-drop columns retained,Imagenette-160 subset paired diagnostic; not full ImageNet or measured-device robustness
