model,model_name,input_shape,backend,precision,stage,op_group,op_type,execution_domain,pdpu_candidate,tokens,channels,embedding_dim,input_bytes,output_bytes,weight_bytes,output_elements,kernel_elements,groups,in_channels_actual,out_channels_actual,estimated_macs,nonlinear_ops,estimated_latency_share,estimated_energy_share,layer_name,module_type,trace_source,evidence_label
MobileViT-XS,mobilevit_xs,1x3x224x224,mps,fp32,stages,attention_score,QK^T,PDPU-extension candidate,extension,16,144,192,73728,16384,0,4096,1,1,0,0,147456,0,0.0191,0.0191,stages.4.1.transformer.0.attn.attention_score,Attention(function-level inferred),torch_hooks_shape_inferred,"local attention-module shape-derived function-op estimate; extension scenario only, not measured HPAT execution"
MobileViT-XS,mobilevit_xs,1x3x224x224,mps,fp32,stages,attention_value,Attention x V,PDPU-extension candidate,extension,16,144,192,53248,36864,0,9216,1,1,0,0,147456,0,0.0191,0.0191,stages.4.1.transformer.0.attn.attention_value,Attention(function-level inferred),torch_hooks_shape_inferred,"local attention-module shape-derived function-op estimate; extension scenario only, not measured HPAT execution"
MobileViT-XS,mobilevit_xs,1x3x224x224,mps,fp32,stages,control_residual,Identity,electronic remainder,no,196,192,192,36864,36864,0,9216,1,1,0,0,0,0,8.0000,8.0000,stages.4.1.transformer.0.ls1,Identity,torch_hooks,local torch/timm hook trace; not edge evidence
MobileViT-XS,mobilevit_xs,1x3x224x224,mps,fp32,stages,control_residual,Identity,electronic remainder,no,196,192,192,36864,36864,0,9216,1,1,0,0,0,0,8.0000,8.0000,stages.4.1.transformer.0.drop_path1,Identity,torch_hooks,local torch/timm hook trace; not edge evidence
MobileViT-XS,mobilevit_xs,1x3x224x224,mps,fp32,stages,normalization_softmax_activation,LayerNorm,electronic remainder,no,196,192,192,36864,36864,1152,9216,1,1,0,0,0,9216,8.0000,8.0000,stages.4.1.transformer.0.norm2,LayerNorm,torch_hooks,local torch/timm hook trace; not edge evidence
MobileViT-XS,mobilevit_xs,1x3x224x224,mps,fp32,stages,ffn_linear,Linear,PDPU-candidate linear/MVM,yes,196,192,192,36864,73728,167040,18432,1,1,144,288,2654208,0,0.3437,0.3437,stages.4.1.transformer.0.mlp.fc1,Linear,torch_hooks,local torch/timm hook trace; not edge evidence
MobileViT-XS,mobilevit_xs,1x3x224x224,mps,fp32,stages,normalization_softmax_activation,SiLU,electronic remainder,no,196,192,192,73728,73728,0,18432,1,1,0,0,0,18432,8.0000,8.0000,stages.4.1.transformer.0.mlp.act,SiLU,torch_hooks,local torch/timm hook trace; not edge evidence
MobileViT-XS,mobilevit_xs,1x3x224x224,mps,fp32,stages,control_residual,Dropout,electronic remainder,no,196,192,192,73728,73728,0,18432,1,1,0,0,0,0,8.0000,8.0000,stages.4.1.transformer.0.mlp.drop1,Dropout,torch_hooks,local torch/timm hook trace; not edge evidence
MobileViT-XS,mobilevit_xs,1x3x224x224,mps,fp32,stages,normalization_softmax_activation,Identity,electronic remainder,no,196,192,192,73728,73728,0,18432,1,1,0,0,0,18432,8.0000,8.0000,stages.4.1.transformer.0.mlp.norm,Identity,torch_hooks,local torch/timm hook trace; not edge evidence
MobileViT-XS,mobilevit_xs,1x3x224x224,mps,fp32,stages,ffn_linear,Linear,PDPU-candidate linear/MVM,yes,196,192,192,73728,36864,166464,9216,1,1,288,144,2654208,0,0.3437,0.3437,stages.4.1.transformer.0.mlp.fc2,Linear,torch_hooks,local torch/timm hook trace; not edge evidence
MobileViT-XS,mobilevit_xs,1x3x224x224,mps,fp32,stages,control_residual,Dropout,electronic remainder,no,196,192,192,36864,36864,0,9216,1,1,0,0,0,0,8.0000,8.0000,stages.4.1.transformer.0.mlp.drop2,Dropout,torch_hooks,local torch/timm hook trace; not edge evidence
MobileViT-XS,mobilevit_xs,1x3x224x224,mps,fp32,stages,control_residual,Identity,electronic remainder,no,196,192,192,36864,36864,0,9216,1,1,0,0,0,0,8.0000,8.0000,stages.4.1.transformer.0.ls2,Identity,torch_hooks,local torch/timm hook trace; not edge evidence
MobileViT-XS,mobilevit_xs,1x3x224x224,mps,fp32,stages,control_residual,Identity,electronic remainder,no,196,192,192,36864,36864,0,9216,1,1,0,0,0,0,8.0000,8.0000,stages.4.1.transformer.0.drop_path2,Identity,torch_hooks,local torch/timm hook trace; not edge evidence
MobileViT-XS,mobilevit_xs,1x3x224x224,mps,fp32,stages,normalization_softmax_activation,LayerNorm,electronic remainder,no,196,192,192,36864,36864,1152,9216,1,1,0,0,0,9216,8.0000,8.0000,stages.4.1.transformer.1.norm1,LayerNorm,torch_hooks,local torch/timm hook trace; not edge evidence
MobileViT-XS,mobilevit_xs,1x3x224x224,mps,fp32,stages,qkv_projection,Linear,PDPU-candidate linear/MVM,yes,196,192,192,36864,110592,250560,27648,1,1,144,432,3981312,0,0.5155,0.5155,stages.4.1.transformer.1.attn.qkv,Linear,torch_hooks,local torch/timm hook trace; not edge evidence
MobileViT-XS,mobilevit_xs,1x3x224x224,mps,fp32,stages,normalization_softmax_activation,Identity,electronic remainder,no,196,192,192,36864,36864,0,9216,1,1,0,0,0,9216,8.0000,8.0000,stages.4.1.transformer.1.attn.q_norm,Identity,torch_hooks,local torch/timm hook trace; not edge evidence
MobileViT-XS,mobilevit_xs,1x3x224x224,mps,fp32,stages,normalization_softmax_activation,Identity,electronic remainder,no,196,192,192,36864,36864,0,9216,1,1,0,0,0,9216,8.0000,8.0000,stages.4.1.transformer.1.attn.k_norm,Identity,torch_hooks,local torch/timm hook trace; not edge evidence
MobileViT-XS,mobilevit_xs,1x3x224x224,mps,fp32,stages,normalization_softmax_activation,Identity,electronic remainder,no,196,192,192,36864,36864,0,9216,1,1,0,0,0,9216,8.0000,8.0000,stages.4.1.transformer.1.attn.norm,Identity,torch_hooks,local torch/timm hook trace; not edge evidence
MobileViT-XS,mobilevit_xs,1x3x224x224,mps,fp32,stages,attention_output_projection,Linear,PDPU-candidate linear/MVM,yes,196,192,192,36864,36864,83520,9216,1,1,144,144,1327104,0,0.1718,0.1718,stages.4.1.transformer.1.attn.proj,Linear,torch_hooks,local torch/timm hook trace; not edge evidence
MobileViT-XS,mobilevit_xs,1x3x224x224,mps,fp32,stages,control_residual,Dropout,electronic remainder,no,196,192,192,36864,36864,0,9216,1,1,0,0,0,0,8.0000,8.0000,stages.4.1.transformer.1.attn.proj_drop,Dropout,torch_hooks,local torch/timm hook trace; not edge evidence
MobileViT-XS,mobilevit_xs,1x3x224x224,mps,fp32,stages,attention_score,QK^T,PDPU-extension candidate,extension,16,144,192,73728,16384,0,4096,1,1,0,0,147456,0,0.0191,0.0191,stages.4.1.transformer.1.attn.attention_score,Attention(function-level inferred),torch_hooks_shape_inferred,"local attention-module shape-derived function-op estimate; extension scenario only, not measured HPAT execution"
MobileViT-XS,mobilevit_xs,1x3x224x224,mps,fp32,stages,attention_value,Attention x V,PDPU-extension candidate,extension,16,144,192,53248,36864,0,9216,1,1,0,0,147456,0,0.0191,0.0191,stages.4.1.transformer.1.attn.attention_value,Attention(function-level inferred),torch_hooks_shape_inferred,"local attention-module shape-derived function-op estimate; extension scenario only, not measured HPAT execution"
MobileViT-XS,mobilevit_xs,1x3x224x224,mps,fp32,stages,control_residual,Identity,electronic remainder,no,196,192,192,36864,36864,0,9216,1,1,0,0,0,0,8.0000,8.0000,stages.4.1.transformer.1.ls1,Identity,torch_hooks,local torch/timm hook trace; not edge evidence
MobileViT-XS,mobilevit_xs,1x3x224x224,mps,fp32,stages,control_residual,Identity,electronic remainder,no,196,192,192,36864,36864,0,9216,1,1,0,0,0,0,8.0000,8.0000,stages.4.1.transformer.1.drop_path1,Identity,torch_hooks,local torch/timm hook trace; not edge evidence
MobileViT-XS,mobilevit_xs,1x3x224x224,mps,fp32,stages,normalization_softmax_activation,LayerNorm,electronic remainder,no,196,192,192,36864,36864,1152,9216,1,1,0,0,0,9216,8.0000,8.0000,stages.4.1.transformer.1.norm2,LayerNorm,torch_hooks,local torch/timm hook trace; not edge evidence
MobileViT-XS,mobilevit_xs,1x3x224x224,mps,fp32,stages,ffn_linear,Linear,PDPU-candidate linear/MVM,yes,196,192,192,36864,73728,167040,18432,1,1,144,288,2654208,0,0.3437,0.3437,stages.4.1.transformer.1.mlp.fc1,Linear,torch_hooks,local torch/timm hook trace; not edge evidence
MobileViT-XS,mobilevit_xs,1x3x224x224,mps,fp32,stages,normalization_softmax_activation,SiLU,electronic remainder,no,196,192,192,73728,73728,0,18432,1,1,0,0,0,18432,8.0000,8.0000,stages.4.1.transformer.1.mlp.act,SiLU,torch_hooks,local torch/timm hook trace; not edge evidence
MobileViT-XS,mobilevit_xs,1x3x224x224,mps,fp32,stages,control_residual,Dropout,electronic remainder,no,196,192,192,73728,73728,0,18432,1,1,0,0,0,0,8.0000,8.0000,stages.4.1.transformer.1.mlp.drop1,Dropout,torch_hooks,local torch/timm hook trace; not edge evidence
MobileViT-XS,mobilevit_xs,1x3x224x224,mps,fp32,stages,normalization_softmax_activation,Identity,electronic remainder,no,196,192,192,73728,73728,0,18432,1,1,0,0,0,18432,8.0000,8.0000,stages.4.1.transformer.1.mlp.norm,Identity,torch_hooks,local torch/timm hook trace; not edge evidence
MobileViT-XS,mobilevit_xs,1x3x224x224,mps,fp32,stages,ffn_linear,Linear,PDPU-candidate linear/MVM,yes,196,192,192,73728,36864,166464,9216,1,1,288,144,2654208,0,0.3437,0.3437,stages.4.1.transformer.1.mlp.fc2,Linear,torch_hooks,local torch/timm hook trace; not edge evidence
MobileViT-XS,mobilevit_xs,1x3x224x224,mps,fp32,stages,control_residual,Dropout,electronic remainder,no,196,192,192,36864,36864,0,9216,1,1,0,0,0,0,8.0000,8.0000,stages.4.1.transformer.1.mlp.drop2,Dropout,torch_hooks,local torch/timm hook trace; not edge evidence
MobileViT-XS,mobilevit_xs,1x3x224x224,mps,fp32,stages,control_residual,Identity,electronic remainder,no,196,192,192,36864,36864,0,9216,1,1,0,0,0,0,8.0000,8.0000,stages.4.1.transformer.1.ls2,Identity,torch_hooks,local torch/timm hook trace; not edge evidence
MobileViT-XS,mobilevit_xs,1x3x224x224,mps,fp32,stages,control_residual,Identity,electronic remainder,no,196,192,192,36864,36864,0,9216,1,1,0,0,0,0,8.0000,8.0000,stages.4.1.transformer.1.drop_path2,Identity,torch_hooks,local torch/timm hook trace; not edge evidence
MobileViT-XS,mobilevit_xs,1x3x224x224,mps,fp32,stages,normalization_softmax_activation,LayerNorm,electronic remainder,no,196,192,192,36864,36864,1152,9216,1,1,0,0,0,9216,8.0000,8.0000,stages.4.1.transformer.2.norm1,LayerNorm,torch_hooks,local torch/timm hook trace; not edge evidence
MobileViT-XS,mobilevit_xs,1x3x224x224,mps,fp32,stages,qkv_projection,Linear,PDPU-candidate linear/MVM,yes,196,192,192,36864,110592,250560,27648,1,1,144,432,3981312,0,0.5155,0.5155,stages.4.1.transformer.2.attn.qkv,Linear,torch_hooks,local torch/timm hook trace; not edge evidence
MobileViT-XS,mobilevit_xs,1x3x224x224,mps,fp32,stages,normalization_softmax_activation,Identity,electronic remainder,no,196,192,192,36864,36864,0,9216,1,1,0,0,0,9216,8.0000,8.0000,stages.4.1.transformer.2.attn.q_norm,Identity,torch_hooks,local torch/timm hook trace; not edge evidence
MobileViT-XS,mobilevit_xs,1x3x224x224,mps,fp32,stages,normalization_softmax_activation,Identity,electronic remainder,no,196,192,192,36864,36864,0,9216,1,1,0,0,0,9216,8.0000,8.0000,stages.4.1.transformer.2.attn.k_norm,Identity,torch_hooks,local torch/timm hook trace; not edge evidence
MobileViT-XS,mobilevit_xs,1x3x224x224,mps,fp32,stages,normalization_softmax_activation,Identity,electronic remainder,no,196,192,192,36864,36864,0,9216,1,1,0,0,0,9216,8.0000,8.0000,stages.4.1.transformer.2.attn.norm,Identity,torch_hooks,local torch/timm hook trace; not edge evidence
MobileViT-XS,mobilevit_xs,1x3x224x224,mps,fp32,stages,attention_output_projection,Linear,PDPU-candidate linear/MVM,yes,196,192,192,36864,36864,83520,9216,1,1,144,144,1327104,0,0.1718,0.1718,stages.4.1.transformer.2.attn.proj,Linear,torch_hooks,local torch/timm hook trace; not edge evidence
MobileViT-XS,mobilevit_xs,1x3x224x224,mps,fp32,stages,control_residual,Dropout,electronic remainder,no,196,192,192,36864,36864,0,9216,1,1,0,0,0,0,8.0000,8.0000,stages.4.1.transformer.2.attn.proj_drop,Dropout,torch_hooks,local torch/timm hook trace; not edge evidence
MobileViT-XS,mobilevit_xs,1x3x224x224,mps,fp32,stages,attention_score,QK^T,PDPU-extension candidate,extension,16,144,192,73728,16384,0,4096,1,1,0,0,147456,0,0.0191,0.0191,stages.4.1.transformer.2.attn.attention_score,Attention(function-level inferred),torch_hooks_shape_inferred,"local attention-module shape-derived function-op estimate; extension scenario only, not measured HPAT execution"
MobileViT-XS,mobilevit_xs,1x3x224x224,mps,fp32,stages,attention_value,Attention x V,PDPU-extension candidate,extension,16,144,192,53248,36864,0,9216,1,1,0,0,147456,0,0.0191,0.0191,stages.4.1.transformer.2.attn.attention_value,Attention(function-level inferred),torch_hooks_shape_inferred,"local attention-module shape-derived function-op estimate; extension scenario only, not measured HPAT execution"
MobileViT-XS,mobilevit_xs,1x3x224x224,mps,fp32,stages,control_residual,Identity,electronic remainder,no,196,192,192,36864,36864,0,9216,1,1,0,0,0,0,8.0000,8.0000,stages.4.1.transformer.2.ls1,Identity,torch_hooks,local torch/timm hook trace; not edge evidence
